mpg,cylinders,displacement,horsepower,weight,acceleration,model year,origin,car name,msrp
18.0,8.0,307.0,130.0,3504.0,12.0,70.0,1.0,chevrolet chevelle malibu,2881.0
15.0,8.0,350.0,165.0,3693.0,11.5,70.0,1.0,buick skylark 320,2847.0
18.0,8.0,318.0,150.0,3436.0,11.0,70.0,1.0,plymouth satellite,2831.0
17.0,8.0,302.0,140.0,3449.0,10.5,70.0,1.0,ford torino,2778.0
15.0,8.0,429.0,198.0,4341.0,10.0,70.0,1.0,ford galaxie 500,3137.0
14.0,8.0,454.0,220.0,4354.0,9.0,70.0,1.0,chevrolet impala,3132.0
14.0,8.0,440.0,215.0,4312.0,8.5,70.0,1.0,plymouth fury iii,3174.0
14.0,8.0,455.0,225.0,4425.0,10.0,70.0,1.0,pontiac catalina,3164.0
15.0,8.0,390.0,190.0,3850.0,8.5,70.0,1.0,amc ambassador dpl,3114.0
15.0,8.0,383.0,170.0,3563.0,10.0,70.0,1.0,dodge challenger se,3914.0
15.0,8.0,400.0,150.0,3761.0,9.5,70.0,1.0,chevrolet monte carlo,3123.0
14.0,8.0,455.0,225.0,3086.0,10.0,70.0,1.0,buick estate wagon (sw),4226.0
24.0,4.0,113.0,95.0,2372.0,15.0,70.0,3.0,toyota corona mark ii,2170.0
22.0,6.0,198.0,95.0,2833.0,15.5,70.0,1.0,plymouth duster,2547.0
21.0,6.0,200.0,85.0,2587.0,16.0,70.0,1.0,ford maverick,1995.0
25.0,4.0,110.0,87.0,2672.0,17.5,71.0,2.0,peugeot 504,3478.0
24.0,4.0,107.0,90.0,2430.0,14.5,71.0,2.0,audi 100 ls,3595.0
25.0,4.0,104.0,95.0,2375.0,17.5,71.0,2.0,saab 99e,3375.0
26.0,4.0,121.0,113.0,2234.0,12.5,71.0,2.0,bmw 2002,3275.0
10.0,8.0,360.0,215.0,4615.0,14.0,71.0,1.0,ford f250,3214.0
10.0,8.0,307.0,200.0,4376.0,15.0,71.0,1.0,chevy c20,3870.0
11.0,8.0,318.0,210.0,4382.0,13.5,71.0,1.0,dodge d200,3198.0
28.0,4.0,140.0,90.0,2264.0,15.5,71.0,1.0,chevrolet vega 2300,2090.0
25.0,4.0,113.0,95.0,2228.0,14.0,71.0,3.0,toyota corona,2150.0
16.0,6.0,225.0,105.0,3439.0,15.5,71.0,1.0,plymouth satellite custom,3003.0
19.0,6.0,250.0,88.0,3302.0,15.5,71.0,1.0,ford torino 500,2950.0
18.0,6.0,232.0,100.0,3288.0,15.5,71.0,1.0,amc matador,3100.0
14.0,8.0,350.0,165.0,4209.0,12.0,71.0,1.0,chevrolet impala,3813.0
14.0,8.0,400.0,175.0,4464.0,11.5,71.0,1.0,pontiac catalina brougham,4154.0
14.0,8.0,318.0,150.0,4096.0,13.0,71.0,1.0,plymouth fury iii,3612.0
12.0,8.0,383.0,180.0,4955.0,11.5,71.0,1.0,dodge monaco (sw),4689.0
13.0,8.0,400.0,170.0,4746.0,12.0,71.0,1.0,ford country squire (sw),4074.0
13.0,8.0,400.0,175.0,5140.0,12.0,71.0,1.0,pontiac safari (sw),4643.0
18.0,6.0,258.0,110.0,2962.0,13.5,71.0,1.0,amc hornet sportabout (sw),2334.0
22.0,4.0,140.0,72.0,2408.0,19.0,71.0,1.0,chevrolet vega (sw),2328.0
19.0,6.0,250.0,100.0,3282.0,15.0,71.0,1.0,pontiac firebird,3168.0
18.0,6.0,250.0,88.0,3139.0,14.5,71.0,1.0,ford mustang,3322.0
30.0,4.0,79.0,70.0,2074.0,19.5,71.0,2.0,peugeot 304,2479.0
30.0,4.0,88.0,76.0,2065.0,14.5,71.0,2.0,fiat 124b,2081.0
31.0,4.0,71.0,65.0,1773.0,19.0,71.0,3.0,toyota corolla 1200,1798.0
26.0,4.0,91.0,70.0,1955.0,20.5,71.0,1.0,plymouth cricket,1915.0
24.0,4.0,113.0,95.0,2278.0,15.5,72.0,3.0,toyota corona hardtop,2532.0
25.0,4.0,97.5,80.0,2126.0,17.0,72.0,1.0,dodge colt hardtop,2233.0
23.0,4.0,97.0,54.0,2254.0,23.5,72.0,2.0,volkswagen type 3,2549.0
20.0,4.0,140.0,90.0,2408.0,19.5,72.0,1.0,chevrolet vega,2160.0
21.0,4.0,122.0,86.0,2226.0,16.5,72.0,1.0,ford pinto runabout,2078.0
13.0,8.0,350.0,165.0,4274.0,12.0,72.0,1.0,chevrolet impala,3979.0
14.0,8.0,400.0,175.0,4385.0,12.0,72.0,1.0,pontiac catalina,4080.0
15.0,8.0,318.0,150.0,4135.0,13.5,72.0,1.0,plymouth fury iii,3785.0
17.0,8.0,304.0,150.0,3672.0,11.5,72.0,1.0,amc ambassador sst,3902.0
11.0,8.0,429.0,208.0,4633.0,11.0,72.0,1.0,mercury marquis,4572.0
13.0,8.0,350.0,155.0,4502.0,13.5,72.0,1.0,buick lesabre custom,4291.0
12.0,8.0,350.0,160.0,4456.0,13.5,72.0,1.0,oldsmobile delta 88 royale,4387.0
13.0,8.0,400.0,190.0,4422.0,12.5,72.0,1.0,chrysler newport royal,4124.0
19.0,3.0,70.0,97.0,2330.0,13.5,72.0,3.0,mazda rx2 coupe,2290.0
15.0,8.0,304.0,150.0,3892.0,12.5,72.0,1.0,amc matador (sw),3239.0
13.0,8.0,307.0,130.0,4098.0,14.0,72.0,1.0,chevrolet chevelle concours (sw),3244.0
14.0,8.0,318.0,150.0,4077.0,14.0,72.0,1.0,plymouth satellite custom (sw),3340.0
18.0,4.0,121.0,112.0,2933.0,14.5,72.0,2.0,volvo 145e (sw),3890.0
22.0,4.0,121.0,76.0,2511.0,18.0,72.0,2.0,volkswagen 411 (sw),3275.0
21.0,4.0,120.0,87.0,2979.0,19.5,72.0,2.0,peugeot 504 (sw),4095.0
26.0,4.0,96.0,69.0,2189.0,18.0,72.0,2.0,renault 12 (sw),2695.0
22.0,4.0,122.0,86.0,2395.0,16.0,72.0,1.0,ford pinto (sw),2265.0
23.0,4.0,120.0,97.0,2506.0,14.5,72.0,3.0,toyota corona mark ii (sw),2837.0
28.0,4.0,98.0,80.0,2164.0,15.0,72.0,1.0,dodge colt (sw),2451.0
27.0,4.0,97.0,88.0,2100.0,16.5,72.0,3.0,toyota corolla 1600 (sw),2301.0
13.0,8.0,350.0,175.0,4100.0,13.0,73.0,1.0,buick century 350,3057.0
14.0,8.0,304.0,150.0,3672.0,11.5,73.0,1.0,amc matador,2986.0
13.0,8.0,350.0,145.0,3988.0,13.0,73.0,1.0,chevrolet malibu,3010.0
14.0,8.0,302.0,137.0,4042.0,14.5,73.0,1.0,ford gran torino,3015.0
15.0,8.0,318.0,150.0,3777.0,12.5,73.0,1.0,dodge coronet custom,3129.0
12.0,8.0,429.0,198.0,4952.0,11.5,73.0,1.0,mercury marquis brougham,5151.0
13.0,8.0,400.0,150.0,4464.0,12.0,73.0,1.0,chevrolet caprice classic,4345.0
13.0,8.0,351.0,158.0,4363.0,13.0,73.0,1.0,ford ltd,3950.0
14.0,8.0,318.0,150.0,4237.0,14.5,73.0,1.0,plymouth fury gran sedan,4064.0
13.0,8.0,440.0,215.0,4735.0,11.0,73.0,1.0,chrysler new yorker brougham,5413.0
12.0,8.0,455.0,225.0,4951.0,11.0,73.0,1.0,buick electra 225 custom,4993.0
13.0,8.0,360.0,175.0,3821.0,11.0,73.0,1.0,amc ambassador brougham,4477.0
18.0,6.0,225.0,105.0,3121.0,16.5,73.0,1.0,plymouth valiant,2447.0
16.0,6.0,250.0,100.0,3278.0,18.0,73.0,1.0,chevrolet nova custom,2641.0
18.0,6.0,232.0,100.0,2945.0,16.0,73.0,1.0,amc hornet,2449.0
18.0,6.0,250.0,88.0,3021.0,16.5,73.0,1.0,ford maverick,2248.0
26.0,4.0,97.0,46.0,1950.0,21.0,73.0,2.0,volkswagen super beetle,2499.0
11.0,8.0,400.0,150.0,4997.0,14.0,73.0,1.0,chevrolet impala,3836.0
12.0,8.0,350.0,180.0,4499.0,12.5,73.0,1.0,oldsmobile vista cruiser,3789.0
18.0,6.0,232.0,100.0,2789.0,15.0,73.0,1.0,amc gremlin,2098.0
20.0,4.0,97.0,88.0,2279.0,19.0,73.0,3.0,toyota carina,2589.0
21.0,4.0,140.0,72.0,2401.0,19.5,73.0,1.0,chevrolet vega,2192.0
18.0,3.0,70.0,90.0,2124.0,13.5,73.0,3.0,maxda rx3,3295.0
19.0,4.0,122.0,85.0,2310.0,18.5,73.0,1.0,ford pinto,2021.0
26.0,4.0,98.0,90.0,2265.0,15.5,73.0,2.0,fiat 124 sport coupe,3674.0
15.0,8.0,350.0,145.0,4082.0,13.0,73.0,1.0,chevrolet monte carlo s,3562.0
16.0,8.0,400.0,230.0,4278.0,9.5,73.0,1.0,pontiac grand prix,4583.0
29.0,4.0,68.0,49.0,1867.0,19.5,73.0,2.0,fiat 128,2195.0
20.0,4.0,114.0,91.0,2582.0,14.0,73.0,2.0,audi 100ls,4275.0
